sch_id,country,type_name,sch_name
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5080,英国,中学,金斯利学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5113,英国,中学,剑桥圣玛莉中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5114,英国,中学,雷斯中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5101,英国,中学,贝德福德学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5102,英国,中学,卡尔福德学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5100,英国,中学,温德梅尔学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5099,英国,中学,斯托尼赫斯特学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5098,英国,中学,赛德伯中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5097,英国,中学,莱豪中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5096,英国,中学,克科姆文法学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5094,英国,中学,温斯特顿伯特学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5095,英国,中学,威克利夫学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5093,英国,中学,西巴克兰学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5092,英国,中学,特鲁罗学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5091,英国,中学,圣三一学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5112,英国,中学,圣约瑟学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5111,英国,中学,奇威尔学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5110,英国,中学,圣菲力克斯学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5108,英国,中学,伊普斯维奇学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5107,英国,中学,皇家共济会女子中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5109,英国,中学,圣埃德蒙学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5106,英国,中学,高斯菲尔德学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5104,英国,中学,伊利国王学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5105,英国,中学,兰利学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5103,英国,中学,布伦特伍德学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5123,英国,中学,赖特克里夫学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5122,英国,中学,奥克汉学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5121,英国,中学,圣玛丽山学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5120,英国,中学,拉夫堡文法学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5119,英国,中学,林肯敏斯特学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5117,英国,中学,剑桥中心学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5118,英国,中学,阿什比学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5116,英国,中学,伍得布里吉学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5115,英国,中学,皇家医学学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5138,英国,中学,斯卡伯勒学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5137,英国,中学,威斯维夫学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5136,英国,中学,玛格利特女王学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5135,英国,中学,弗灵霍尔学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5134,英国,中学,福耐克中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5133,英国,中学,布斯汉姆学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5132,英国,中学,巴那堡中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5131,英国,中学,艾克沃斯学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5129,英国,中学,斯顿拉中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5130,英国,中学,皇家沃福汉普顿中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5128,英国,中学,艾丽斯密尔学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5127,英国,中学,布罗蒙思林苑学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5148,英国,中学,斯特拉撒伦中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5147,英国,中学,费蒂斯中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5146,英国,中学,劳莱特学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5145,英国,中学,罗蒙德学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5143,英国,中学,格兰诺蒙德学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5144,英国,中学,基尔格雷斯顿学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5142,英国,中学,立德学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5141,英国,中学,蒙特中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5140,英国,中学,圣詹姆斯学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5139,英国,中学,约克圣彼得中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5161,英国,中学,维克特勒中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5158,英国,中学,津格尔斯威克学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5159,英国,中学,威廉国王学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5160,英国,中学,路易斯顿中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5157,英国,中学,埃克塞特学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5156,英国,中学,达利奇学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5154,英国,中学,伯恩茅斯学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5153,英国,中学,奥斯汀中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5155,英国,中学,切尔西学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5152,英国,中学,皇家学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5174,英国,中学,艾姆培尔福斯学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5173,英国,中学,阿登翰学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5172,英国,中学,威克姆中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5151,英国,中学,坎贝尔学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5171,英国,中学,圣特里萨中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5169,英国,中学,圣弗朗西斯中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5170,英国,中学,圣约翰学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5168,英国,中学,谢拉德伍德中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5167,英国,中学,瑞德尔潘霍斯高中
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5166,英国,中学,若克坡特学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5165,英国,中学,帕莱尔菲尔德学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5164,英国,中学,海伦娜公主学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5186,英国,中学,圣约翰公学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5185,英国,中学,沃克索普学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5184,英国,中学,阿宾汉姆学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5183,英国,中学,都铎堂学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5181,英国,中学,舒兹伯利学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5182,英国,中学,圣爱德华学校 (牛津)
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5180,英国,中学,潘伯尼学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5179,英国,中学,莫顿堂女子中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5177,英国,中学,海丁顿中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5178,英国,中学,莫契斯东中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5176,英国,中学,布莱德菲尔德学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5195,英国,中学,北安普顿女子高中
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5194,英国,中学,赫里福德教会中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5192,英国,中学,莱斯特文法学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5191,英国,中学,米德尔顿公学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5193,英国,中学,巴布莱克学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5190,英国,中学,莱斯特蒙迪学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5189,英国,中学,阿德科特女子中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5188,英国,中学,克莱蒙特学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5212,英国,中学,谢尔菲德学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5211,英国,中学,拉肯顿学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5210,英国,中学,布劳克斯翰学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5208,英国,中学,邦德瑞橡树学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5209,英国,中学,阿尔伯马学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5207,英国,中学,奇尔顿坎特罗学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5204,英国,中学,西伯福德学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5205,英国,中学,萨顿瓦斯学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5203,英国,中学,圣爱德华学校 (切尔滕纳姆)
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5202,英国,中学,格鲁斯特国王学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5215,英国,中学,威灵堡学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5200,英国,中学,纽卡斯尔安德莱姆学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5214,英国,中学,瑞德兰女校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5201,英国,中学,温斯特霍姆学校
